DAFTAR RISIKO,,,,,,,,,,,,,,,,,,,,
RUMAH SAKIT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
No,Kegiatan,Tujuan Kegiatan,Kode Risiko,Kategori Risiko,Ruang Lingkup,Pernyataan Risiko,Sebab,UC/C,Probality,Dampak,Pengendalian Yang Ada,,,Tingkat Risiko,Peringkat Risiko,Rencana Pengendalian,,Pemilik Risiko,PJ Tindak Lanjut,
271,Jaringan IT Eror,Penggunaan digital maksimal,,Operasional,Fasilitas,"Karena jaringan IT eror dapat mengakibatkan penundaan pelayanan , mungkin saja terjadi kesalahan human eror, sehingga petugas tidak cepat dalam penginputan, data tidak sesuai, lama dalam pelayanan",Jaringan tidak maksimal,C,2,3,Koordinasi dengan SIRS,Ada,Efektif,6,SEDANG,Melakukan pemantauan secara berkala bekerja sama dengan SIRS,Semua pasien di ruang intensif,"pasien, perawat",Koodinator R. Intensif,R. Intensif
272,Risiko Vagal Reflek pada saat intubasi/extubasi,Tidak terjadi vagal reflek,,Operasional,Staf Medis,"Karena tindakan intubasi/ektubasi dapat mengakibatkan reflek vagal, mungkin saja terjadi kesalahan prosedur /skill, sehingga pasien mengalami cidera",Keterampilan pemasangan intubasi,C,2,5,Dilakukan pemasangan oleh dokter yang sudah tersertifikasi atau dilakukan pendampingan bagi dokter yang belum tersertifikasi,Ada,Efektif,10,TINGGI,Review PPK dan SPK dokter jaga serta drilling rutin,setiap triwulan,DPJP,Ka Inst Rawat Inap,R. Intensif
273,Merawat pasien dengan jaminan asuransi/perusahaan,Memberikan obat dan alkes sesuai dengan dengan ketentuan dari asuransi/perusahaan,,Kebijakan,Bisnis RS,Karena penjaminan pasien menggunakan asuransi/perusahaan mungkin saja terdapat obat dan alkes yang tidak sesuai dengan kesepakatan asuransi sehingga menyebabkan resiko gagal klaim,Payor pembayaran pasien,C,2,4,Koordinasi berkala dengan monitoring asuransi,Ada,Efektif,8,SEDANG,Melakukan pemantauan secara berkala bekerja sama dengan MPP,Semua pasien di ruang intensif dengan jaminan asuransi,"Perawat Ruang Intensif, DPJP dan Keuangan",Ka Inst Rawat Inap,R. Intensif
274,Pencegahan kebakaran/konsletting alat listrik,Tidak terjadi konsletting,,Kepatuhan,Lingkungan,"Karena konsletting bisa terjadi, mungkin saja penggunaan kabel yang tidak sesuai dengan peralatan listrik, kabel yang sudah usang, tidak memenuhi sesuai standar keamanan, sehingga kebakaran bisa terjadi",Kurang pemeliharaan,C,2,4,Dilakukan pengecekan secara berkala,Ada,Efektif,8,SEDANG,Melakukan pemantauan secara berkala bekerja sama dengan IPSRS,Semua pasien di ruang intensif,"perawat, pasien, pengunjung",Koodinator R. Intensif,R. Intensif
275,Resiko HAP,Tidak terjadi HAP,,Kepatuhan,Lingkungan,"Karena terjadi pneumonia akibat perawatan lebih dari 48 jam, mungkin saja terjadi, sehingga terjadi infeksi pneumonia yang didapat dari rumah sakit","Perawatan lebih dari 48 jam, dan sering keluar masuk rumah sakit",C,2,3,Dilakukan pengecekan secara berkala,Ada,Efektif,6,SEDANG,Evaluasi SOP dan monitoring pasien dengan resiko penumonia,Semua pasien di ruang intensif,pasien,Koodinator R. Intensif,R. Intensif
276,Tertusuk jarum suntik,Tidak terjadi,,Kepatuhan,Nakes lain,"Karena ketidak hati-hatian cara menggunakan jarum suntik, mungkin saja terjadi tertusuk jarum, sehingga mengakibatkan cidera",Tidak sesuai prosedur,C,2,2,Mengikuti SOP yang berlaku,Ada,Efektif,4,RENDAH,Review dan monitoring SOP berkerjasama dengan PPI,Setiap pasien pindah dari ruang intensif ke ruang rawat inap,Perawat Ruang Intensif,Koodinator R. Intensif,R. Intensif
277,Ventilator tiba-tiba mati,Tidak terjadi,,Operasional,Fasilitas,"Karena ventilator tiba-tiba mati, mungkin saja terjadi karena ada sistem yang rusak yang tidak diketahui penyebabnya, mungkin saja terjadi, sehingga harus ada alternatif alat cadangan",Sistem alat yang rusak,C,2,4,Dilakukan pengecekan secara berkala,Ada,Efektif,8,SEDANG,Melakukan pemantauan secara berkala bekerja sama dengan IPSRS,Setiap bulan,Perawat Ruang Intensif,Koodinator R. Intensif,R. Intensif
278,Alat Infant Inkubator,Tidak terjadi eror saat pemakaian,,Operasional,Pasien,"Karena pemakaian alat yang sering dalam melakukan perawatan pasien neonatus, mungkin saja terjadi ketidakhangatan dengan alat inkubator, sehingga pasien neonatus terjadi instabilitas suhu tubuh",Tidak sesuai prosedur,C,2,2,Dilakukan pengecekan secara berkala,Ada,Efektif,4,RENDAH,Melakukan pemantauan secara berkala bekerja sama dengan IPSRS,Setiap bulan,Perawat Ruang Intensif,Koodinator R. Intensif,R. Intensif
279,Compresor CPAP mati saat terpakai,Tidak terjadi,,Operasional,Pasien,"Karena kompresor CPAP mati, mungkin saja pemeliharaan kurang maksimal, sehingga mati pada saat terpakai",Kurangnya pengecekan terhadap peralatan,C,3,3,Dilakukan pengecekan secara berkala,Ada,Efektif,9,SEDANG,Melakukan pemantauan secara berkala bekerja sama dengan IPSRS,Setiap bulan,Perawat Ruang Intensif,Koodinator R. Intensif,R. Intensif
280,Gigi palsu lupa dilepas,mengamankan gigi palsu,,Operasional,Nakes lain,"Karena gigi palsu lupa dilepas, mungkin saja terjadi aspirasi tertelan oleh pasien, sehingga mengakibatkan gangguan jalan nafas",Tidak sesuai prosedur,C,2,3,Memastikan pasien tidak menggunakan gigi palsu saat masuk ICU,Ada,Efektif,6,SEDANG,Review SOP dan monitoring secara berkala,Semua pasien di ruang intensif,Perawat Ruang Intensif,Koodinator R. Intensif,R. Intensif
281,Tertusuk kaca ampul,Tidak terjadi cidera,,Kepatuhan,Nakes lain,"Karena teknik membuka obat ampul yang tidak sesuai, mungkin saja terjadi ketidak tahuan petugas membuka obat ampul, sehingga cidera (tertusuk benda tajam)",Ketidaktahuan posisi dalam membuka obat ampul,C,2,2,Mengikuti SOP yang berlaku,Ada,Efektif,4,RENDAH,Melakukan pemantauan secara berkala bekerja sama dengan PPI,Setiap akan membuka ampul,Perawat Ruang Intensif,Koodinator R. Intensif,R. Intensif
282,Resiko terpeleset,Tidak terjadi cidera pada petugas,,Operasional,Lingkungan,"Karena petugas terpeleset adanya cairan dilantai yang tumpah, mungkin saja perawat tidak melihat , sehingga petugas terpeleset /jatuh",terdapat cairan yang tumpah,C,2,2,Memasang penanda lantai licin,Ada,Efektif,4,RENDAH,Melakukan pemantauan secara berkala bekerja sama dengan IPSRS,Semua pasien di ruang intensif,Perawat Ruang Intensif,Koodinator R. Intensif,R. Intensif
283,Komunikasi tidak efektif,Komunikasi efektif,,Operasional,Staf Medis,"Karena komunikasi tidak efektif, mungkin saja staff tidak percaya diri dan penyampaiannya tidak baik sehingga tujuannya tidak tercapai","staff tidak percaya diri, kurang pengetahuan",C,2,2,Melakukan komunikasi efektif kepada keluarga pasien,Ada,Efektif,4,RENDAH,Pelatihan komukasi efektif,2 kali dalam 1 tahun,DPJP,Ka Inst Rawat Inap,R. Intensif
284,"Kulkas Obat dan ASI kurang dingin, tidak sesuai dengan suhu",Tidak terjadi,,Operasional,Fasilitas,"Karena kulkas obat dan ASI tidak sesuai temperaturnya, mungkin saja petugas tidak memantau suhu kulkas, sehingga kulkas tidak dingin",Tidak dipantau temperatur,C,2,2,Dilakukan pengecekan secara berkala,Ada,Efektif,4,RENDAH,Melakukan pemantauan secara berkala bekerja sama dengan IPSRS,Setiap bulan,Perawat Ruang Intensif,Koodinator R. Intensif,R. Intensif
285,Perencanaan perbekalan farmasi,Memenuhi kebutuhan perbekalan farmasi di rumah sakit,,Keuangan,Bisnis RS,Karena perencanaan perbekalan farmasi tidak tepat mungkin saja kebutuhan perbekalan farmasi tidak terpenuhi sehingga rumah sakit mengalami kerugian potensial lost,Proses perencaan perbekanan farmasi masih dilakukan secara manual,C,3,2,"Penyempurnaan modul farmasi untuk
perencanaan perbekalan",Ada,Kurang Efektif,6,SEDANG,"Memastikan kebutuhan 
perbekalan farmasi 
selalu terpenuhi","setiap 
bulan",Rumah Sakit,Koordinator,Farmasi
286,Penerimaan perbekalan farmasi,menerima perbekalan sesuai dengan pesanan,,Operasional,Nakes lain,Karena penerimaan perbekalan farmasi tidak sesuai pesanan mungkin saja kegiatan administrasi menjadi terganggu sehingga logistik tidak bisa melanjutkan kegiatan ke tahap selanjutnya,proses penerimaan yang salah,UC,4,4,spo penerimaan perbekalan farmasi,Ada,Efektif,16,SANGAT TINGGI,ceklist verifikasi resep dengan billing,setiap hari,pasien,koordinator,Farmasi
287,Penyimpanan perbekalan farmasi,penyimpanan perbekalan farmasi dilakukan sesuai dengan standar yang berlaku,,Operasional,Nakes lain,"Karena penyimpanan perbekalan farmasi tidak sesuai standar yang berlaku mungkin saja obat menjadi rusak, petugas kesulitan mencari perbekalan farmasi",kegiatan penyimpanan yang tidak sesuai,UC,3,3,"tersedia SPO, audit berkala
penyimpanan perbekalan farmasi, 
zonasi penyimpanan obat",Ada,Kurang Efektif,9,SEDANG,"monitoring suhu, penggunaan alarm
pada suhu, zonasi penyimpanan,
dan label jelas",setiap hari,gudang farmasi,koordinator,Farmasi
288,distribusi obat,agar proses distribusi obat ke ruangan perawatan dan kepada pasien menjadi lancar dan tepat,,Operasional,Nakes lain,Karena distribusi obat tidak sesuai standar mungkin saja terjadi insiden sehingga menimbulkan potensi kejadian yang tidak diinginkan dan kompalin pasien,proses distribusi perbekalan farmasi yang tidak sesuai standar,UC,1,3,,Ada,Efektif,3,,monev distribusi obat,setiap hari,rumah sakit,apoteker,Farmasi
289,Penerimaan resep,agar proses penerimaan resep sesuai dengan standa yang berlaku,,Operasional,Nakes lain,Karena penerimaan resep tidak sesuai standar mungkin saja terjadi insiden sehingga menimbulkan potensi kejadian yang tidak diinginkan dan kompalin pasien,proses telaah resep dan telaah obat tidak dilaksanakan,UC,1,3,"audit internal, SPO pengelolaan obat narkotika dan psikotropika",Ada,Efektif,3,RENDAH,SO obat setiap hari/berkala,setiap hari,rumah sakit,apoteker,Farmasi
290,menginput resep,Menjamin billing obat akurat,,Keuangan,Nakes lain,Karena menginput billing resep tidak tepat mungkin saja billing menjadi tidak sesuai sehingga rumah sakit mengalami kerugian potensial lost,"Input manual, sistem tidak sesuai, input tidak akurat",UC,3,3,input obat di SIMRS,Ada,Efektif,9,SEDANG,ceklist verifikasi resep dengan billing,setiap hari,staff,apoteker,Farmasi
291,skrining resep,agar proses skrining resep dilakukan sesuai standar,,Operasional,Nakes lain,Karena proses skrining resep sesuai standar mungkin saja terjadi insiden dosis tidak sesuai sehingga menimbulkan potensi kejadian yang tidak diinginkan dan kompalin pasien,dokter keliru menuliskan resep,C,3,3,"maintenace SIMRS, backup jaringan",Ada,Efektif,9,SEDANG,"upgrade server, backup otomatis, penambahan router",setiap hari,rumah sakit,koordinator,Farmasi
292,penyiapan obat,agar proses penyiapan obat dilakukan dengan tepat,,Operasional,Nakes lain,Karena penyiapan obat tidak sesuai standar mungkin saja terjadi kesalahan penyiapan obat sehingga menimbulkan potensi kejadian yang tidak diinginkan dan kompalin pasien,pengambilan obat tidak memperhatikan resep dan bon,UC,2,2,"monitoring suhu, kalibrasi kulkas",Ada,Efektif,4,RENDAH,monitoring,setiap bulan,rumah sakit,apoteker,Farmasi
293,etiket dan labelling,agar proses etiket dan labelling sesuai standar yang tersedia,,Operasional,Nakes lain,Karena proses etiket dan labelling tidak sesuai standar mungkin saja terjadi insiden etiket yang tidak sesuai atau obat yang tertukar sehingga menimbulkan potensi kejadian yang tidak diinginkan dan kompalin pasien,"human error,interupsi dari pasien saat penyerahan obat",UC,2,2,"jadwal distribusi, double cek serah terima",Ada,Efektif,4,,"sosialisasi SPO, Monev
proses labelling dan etiket",setiap bulan,staff farmasi,koordinator,Farmasi
294,penyerahan obat di rawat jalan,agar proses penerimaan resep sesuai dengan standa yang berlaku,,Operasional,Nakes lain,Karena proses penyerahan obat dirawat jalan tidak sesuai standar mungkin saja terjadi insiden kesalahan penyerahan obat dan KIE yang tidak sesuai sehingga menimbulkan potensi kejadian yang tidak diinginkan dan kompalin pasien,"human error, petugas farmasi klinis hanya 1 orang",UC,1,2,SPO pengamanan obat,Ada,Efektif,2,SANGAT RENDAH,sosialisasi SPO pengamanan obat,setiap bulan,rumah sakit,koordinator,Farmasi
295,penyerahan obat di rawat inap,agar proses penerimaan resep sesuai dengan standa yang berlaku,,Operasional,Nakes lain,Karena proses penyerahan obat dirawat inap tidak sesuai standar mungkin saja terjadi insiden kesalahan penyerahan obat dan KIE yang tidak sesuai sehingga menimbulkan potensi kejadian yang tidak diinginkan dan kompalin pasien,"human error, petugas farmasi klinis hanya 1 orang",UC,3,3,SPO Penyerahan obat di farmasi rawat inap,Ada,Kurang Efektif,9,SEDANG,Memastikan kebutuhan perbekalan farmasi selalu terpenuhi,setiap bulan,Rumah Sakit,Koordinator,Farmasi
296,Waktu tungu pelayanan resep,Melakukan pelayanan sesuai dengan standar waktu tunggu yang telah ditetapkan,,Operasional,Nakes lain,Karena waktu tunggu resep lama mungkin saja pasien tidak puas dengan pelayanan sehingga rumah sakit mengalami kerugian potensial lost pasien tidak mengambil obat dan komplain,"Antrian tinggi (jam sibuk), banyak obat racikan, SDM terbatas, menunggu pembayaran berhasil",UC,3,2,"penyesuaian SPO sesuai dengan kondisi ter kini di pelayanan, monev kegiatan penerimaan perbekalan",Ada,Kurang Efektif,6,SEDANG,"Resosialisasi SPO, Monev setiap shift, evalausi alur pelayanan resp rawat jala, hitung ulang beban kerja",setiap hari,pasien,Rumah sakit,Farmasi
297,Pengelolaan Narkotika dan Psikotropika,"Memenuhi regulasi pengelolaan obat (pemesanan, penerimaan, penyimpanan, distribusi)",,Operasional,Nakes lain,Karena pengelolaan narkotika dan psikotropika tidak benar mungkin saja kebutuhan pengelolaan tidak memenuhi syarat regulasi sehingga rumah sakit mengalami kerugian,"Pencatatan manual, kartu stok tidak maksimal, pengawasan kurang",C,3,3,"audit internal, SPO pengelolaan obat narkotika dan psikotropika",Ada,Kurang Efektif,9,SEDANG,"monitoring suhu, penggunaan alarm pada suhu, zonasi penyimpanan, dan label jelas",setiap hari,rumah sakit,koordinator,Farmasi
298,Penggunaan SIRS,Menjamin kelancaran pelayanan farmasi secara sistem,,Operasional,Nakes lain,Karena penggunaan SIRS tidak tepat mungkin saja kelancaran penggunaan sistem tidak maksimal sehingga pelayanan terganggu,"Server lemah, jaringan tidak stabil",UC,2,2,"maintenace SIMRS, backup jaringan",Ada,Kurang Efektif,4,RENDAH,monev distribusi obat,setiap hari,depo farmasi,apoteker,Farmasi
299,Pengelolaan Cold Chain,Menjaga stabilitas suhu obat termolabil,,Operasional,Fasilitas,Karena pengelolaan cold chain tidak tepat mungkin saja akan terjadi kerusakan pada obat termolabil kebutuhan sehingga rumah sakit mengalami kerugian potensial lost,C,UC,4,3,"monitoring suhu, kalibrasi kulkas",Ada,Kurang Efektif,12,TINGGI,monev penerimaan resep (telaah obat dan telaah resep),setiap hari,staff farmasi,apoteker,Farmasi
300,Pengamanan Obat,Menjaga keamanan perbekalan farmasi saat disimpan,,Keuangan,Nakes lain,Karena pengamanan perbekalan farmasi tidak tepat mungkin saja keamanan penyimpanan perbekalan farmasi tidak terpantau sehingga rumah sakit mengalami kerugian potensial lost,"CCTV kurang, akses tidak terbatas",,4,4,SPO pengamanan obat,Ada,Kurang Efektif,16,SANGAT TINGGI,monev penerimaan resep (telaah obat dan telaah resep),setiap hari,staff farmasi,apoteker,Farmasi
301,Pengantaran bahan makanan basah/kering,Menyediakan bahan makanan basah mentah untuk Instalasi Gizi,,Operasional,Nakes lain,Karena salah posisi mengangkat beban berat bahan makanan mungkin saja terjadi posisi yang salah sehingga supplier terkilir atau nyeri pinggang,Salah posisi mengangkat beban berat bahan makanan,C,1,3,Menyediakan trolley untuk mengangkat barang barang berat,Ada,Efektif,3,RENDAH,Selalu menyediakan trolley,Setiap penerimaan bahan makanan,Supplier,Ka.Instalasi Gizi,Gizi
302,Penerimaan bahan makanan basah,Menerima bahan makanan basah yang sesuai dengan spesifikasi yang dimiliki Instalasi Gizi,,Operasional,Nakes lain,Karena lantai ruang penerimaan tidak anti licin mungkin saja terdapat genangan air sehingga petugas penerimaan bahan makanan terpeleset,Lantai ruang penerimaan tidak anti licin,C,2,3,"Menyediakan safety shoes untuk petugas penerimaan bahan, memisahkan bahan basah yang mengandung air langsung ke dalam sink",Ada,Efektif,6,SEDANG,Menyediakan safety shoes,Setiap berdinas,Koord UPM,Ka.Instalasi Gizi,Gizi
303,Menyiapkan bahan makanan,Memotong bahan makanan sesuai dengan standar ukuran yang sudah ditentukan dengan jenis hidangan,,Operasional,Nakes lain,Karena tidak fokus mungkin saja bukan hanya bahan makanan yang terpotong sehingga jari penjamah makanan teriris pisau,Tidak fokus,C,3,3,"SPO pengolahan makanan, membuat tata tertib Instalasi agar tidak banyak berbicara tidak penting ketika bekerja",Ada,Efektif,9,SEDANG,Mengingatkan tata tertib dalam GKM dan briefing tim boga,1x/bulan,Tim boga/pastry,Ka.Instalasi Gizi,Gizi
304,Mengorder makanan ke boga,Memesan masing masing hidangan sesuai dengan jumlah dan diet pasien,,Keuangan,Bisnis RS,Karena pasien turun drastis mungkin saja makanan yang sudah dimasak tidak sesuai dengan jumlah pasien sehingga sisa makanan berlebih,Pasien turun drastis,,3,3,SPO pemesanan menu makanan pasien ke bagian boga,Ada,Efektif,9,SEDANG,Briefing tim ahli gizi produksi,1x/bulan,Ahli Gizi Produksi,Ka.Instalasi Gizi,Gizi
305,Menyalakan kompor,Menyalakan sumber panas berupa api dalam media kompor untuk memasak,,Operasional,Fasilitas,Karena terdapat bahan mudah terbakar didekat kompor mungkin saja api menyambar bahan tersebut sehingga terjadi kebakaran di Instalasi Gizi,Terdapat bahan mudah terbakar disekitar kompor,C,2,4,"SPO penggunaan kompor gas, alur kerja pengolahan makanan",Ada,Efektif,8,SEDANG,Briefing tim boga,1x/bulan,Petugas cook/pastry,Ka.Instalasi Gizi,Gizi
306,Pengolahan makanan,Mengolah bahan makanan mentah menjadi makanan matang,,Operasional,Nakes lain,Karena lantai licin mungkin saja penjamah makanan terpeleset sehingga penjamah makanan tersiram minyak/ air panas,Lantai licin,C,2,4,Menyediakan safety shoes untuk petugas cook,Ada,Efektif,8,SEDANG,Briefing tim petugas kebersihan,1x/bulan,Petugas kebersihan,Ka.Instalasi Gizi,Gizi
307,Memindahkan makanan dalam wajan ke dalam serving dish,Memudahkan untuk proses pemorsian makanan,,Operasional,Nakes lain,Karena salah posisi mengangkat wajan mungkin saja penjamah makanan belum siap mengangkat berat sehingga penjamah makanan terkilir atau nyeri pinggang,Salah posisi mengangkat wajan,C,3,3,Internal training tentang teknik mengangkat barang dan pencegahan LBP,Ada,Kurang Efektif,9,SEDANG,Salah satu materi internal training tentang teknik pengnangkatan beban berat,1x/tahun,Petugas cook,Ka.Instalasi Gizi,Gizi
308,Uji Organoleptik makanan,"Menguji makanan dari sisi rasa, aroma, penampilan, tekstur",,Operasional,Pasien,Karena menggunakan alat makan yang sama mungkin saja penjamah makanan lupa dan menaruh sendok yang sudah masuk ke mulut ke dalam makanan pasien sehingga makanan terkontaminasi,Menggunakan alat makan yang sama,C,1,4,SPO Uji organoleptik,Ada,Efektif,4,RENDAH,Briefing tim ahli gizi produksi,1x/bulan,Petugas pemorsian,Ka.Instalasi Gizi,Gizi
309,Pemorsian makanan,Memorsikan makanan ke dalam alat makan pasien sesuai dengan standar diet,,Operasional,Pasien,Karena makanan tidak langsung di wrapping mungkin saja benda asing masuk ke dalam makanan sehingga terdapat benda asing dalam makanan,Makanan tidak langsung diwrapping,C,2,3,SPO pemorsian makanan utama/ selingan,Ada,Efektif,6,SEDANG,Briefing tim ahli gizi produksi,1x/bulan,Petugas pemorsian,Ka.Instalasi Gizi,Gizi
310,Pengecekan makanan oleh ahli gizi,Memastikan makanan yang diberikan sudah sesuai dengan identitas pasien dan diet yang diberikan,,Operasional,Pasien,"karena tidak teliti mungkin saja ahli gizi tidak mengecek dengan seksama antara kamar, identitas pasien, diet dan makanan yang diberikan sehingga pemberian makan tidak sesuai dengan diet",Tidak teliti,C,2,4,SPO pemorsian makan utama,Ada,Efektif,8,SEDANG,Briefing tim ahli gizi klinik dan produksi,1x/bulan,Ahli Gizi,Ka.Instalasi Gizi,Gizi
311,Memasang kabel hot trolley ke dalam stop kontak,Menghantarkan listrik ke dalam trolley sehingga trolley menjadi panas,,Operasional,Nakes lain,Karena tidak memastikan tangan kering mungkin saja ada air yang menghantarkan listrik ke tangan petugas sehingga petugas kesetrum,Tidak memastikan tangan kering,C,2,3,"Alur kerja pendistribusian makanan, pertemuan rutin dengan tim pramusaji",Ada,Efektif,6,SEDANG,Briefing tim pramusaji,1x/bulan,Petugas Pramusaji,Ka.Instalasi Gizi,Gizi
312,Memindahkan makanan pasien dari ruang pemorsian ke dalam hot trolley,Menghangatkan makanan sebelum didistribusikan ke pasien,,Operasional,Nakes lain,Karena lantai licin mungkin saja penjamah makanan terpeleset sehingga penjamah makanan terkilir dan makanan terjatuh,Lantai licin,C,2,3,Menyediakan safety shoes untuk petugas pramusaji,Ada,Efektif,6,SEDANG,Menyediakan safety shoes,setiap kali pelayanan,Petugas Pramusaji,Ka.Instalasi Gizi,Gizi
313,Pengantaran makanan ke ruang rawat inap menggunakan hot trolley,Menyediakan makanan untuk pasien rawat inap,,Operasional,Nakes lain,Karena hot trolley terlalu berat mungkin saja tidak terkendali saat dioperasikan sehingga kaki pramusaji terlindas hot trolley,Hot trolley terlalu berat,C,2,4,Menyediakan safety shoes untuk petugas pramusaji,Ada,Kurang Efektif,8,SEDANG,Menyediakan safety shoes,setiap kali pelayanan,Petugas Pramusaji,Ka.Instalasi Gizi,Gizi
314,Pengantaran makan ke kamar pasien,Mengantarkan makanan ke masing masing pasien sesuai dengan diet,,Operasional,Pasien,Karena tidak dilakukan identifikasi mungkin saja identitas pasien tidak sesuai dengan makanan yang diberikan sehingga terjadi kesalahan pengantaran makan,Tidak dilakukan identifikasi,C,3,4,"SPO pengantaran makan pasien, pertemuan rutin dengan tim pramusaji",Ada,Efektif,12,TINGGI,Briefing tim pramusaji,1x/bulan,Petugas Pramusaji,Ka.Instalasi Gizi,Gizi
315,Penulisan etiket makan pasien,Memberikan tanda pada makanan pasien sesuai dengan identitas dan diet yang diberikan,,Operasional,Pasien,Karena tidak menempelkan label identitas pasien mungkin saja tulisan tidak terbaca sehingga penulisan nama pasien salah/ tertukar,Tidak menempelkan label identitas pasien,C,3,4,"Menyediakan printer label nama pasien yang terkoneksi dengan teramedik, melakukan pengecekan ulang oleh ahli gizi produksi dan ahli gizi klinik pada saat pengecekan makan",Ada,Efektif,12,TINGGI,Briefing tim ahli gizi produksi,1x/bulan,Ahli Gizi Produksi,Ka.Instalasi Gizi,Gizi
316,Penyimpanan bahan makanan kering,Menata dan mempertahankan mutu bahan makanan yang disimpan,,Operasional,Pasien,Karena tidak menerapkan sistem FIFO mungkin saja bahan kering expired tidak terlihat sehingga bahan kering terbuang percuma,Tidak menerapkan sistem FIFO,C,2,3,SPO penyimpanan bahan makanan kering,Ada,Efektif,6,SEDANG,Briefing tim logistik gizi,1x/bulan,Petugas Gudang,Ka.Instalasi Gizi,Gizi
317,Mencuci alat makan pasien,Membersihkan alat makan pasien setelah digunakan,,Operasional,Fasilitas,Karena tangan licin mungkin saja alat makan slip dan pecah sehingga tangan petugas terluka,Tangan licin,C,2,3,Pertemuan rutin dengan tim steward,Ada,Kurang Efektif,6,SEDANG,Briefing tim petugas kebersihan,1x/bulan,Petugas kebersihan,Ka.Instalasi Gizi,Gizi
318,Clearup makan pasien,Mengambil alat makan kotor pasien,,Operasional,Fasilitas,Karena tidak menanyakan kelengkapan alat yang harus diambil mungkin saja masih terdapat alat yang masih digunakan pasien sehingga kehilangan alat tidak tercatat,Tidak menanyakan kelengkapan alat yang harus diambil,C,4,2,SPO clearup alat makan pasien,Ada,Kurang Efektif,8,SEDANG,Briefing tim pramusaji,1x/ 3bulan,Petugas pramusaji,Ka.Instalasi Gizi,Gizi
319,Pengoperasian oven,Mengolah makanan menggunakan media oven,,Operasional,Fasilitas,Karena tidak dilakukan pengontrolan berkala mungkin saja knop aliran gas alam kendor dan suhu oven tidak terkendali sehingga terjadi kegagalan produk,Tidak dilakukan pengontrolan berkala,C,2,3,SPO pengoperasian oven,Ada,Efektif,6,SEDANG,Petugas cook/pastry memastikan penunjang masak seperti kompor harus dalam kondisi aman sebelum digunakan,setiap hari,Petugas cook/pastry,Ka.Instalasi Gizi,Gizi
320,Membersihkan area gizi,Memastikan area gizi bebas debu serta lantai bebas air dan minyak,,Operasional,Nakes lain,Karena tidak menjalankan standar membersihkan area gizi mungkin saja petugas tidak menggunakan air panas atau chemical yang digunakan tidak sesuai sehingga lantai tetap kotor dan licin,Tidak menjalankan standar membersihkan area gizi,C,3,3,"SPO membersihkan area Instalasi Gizi, GKM rutin mengingatkan pentingnya kebersihan area gizi",Ada,Kurang Efektif,9,SEDANG,Briefing tim petugas kebersihan,1x/bulan,Ka Instalasi Gizi,Ka.Instalasi Gizi,Gizi
321,Mencuci alat makan pasien,Membersihkan alat makan pasien setelah digunakan,,Operasional,Pasien,Karena tidak menjalankan standar mencuci alat makan pasien mungkin saja proses pencucian alat makan tidak maksimal sehingga alat makan masih terdapat sisa makanan pasien,Tidak menjalankan standar mencuci alat makan pasien,C,2,3,"SPO pencucian alat pasien, terdapat jumlah sink standar PGRS, terdapat water heater",Ada,Efektif,6,SEDANG,Briefing tim petugas kebersihan,1x/bulan,Petugas kebersihan,Ka.Instalasi Gizi,Gizi
322,Penggunaan APD penjamah makanan,Menghindari kontaminasi makanan yang bersumber dari penjamah makanan,,Kepatuhan,Pasien,Karena penjamah makanan tidak menggunakan alat pelindung diri mungkin saja rambut penjamah makanan masuk kedalam makanan sehingga makanan pasien terkontaminasi,Penjamah makanan tidak menggunakan APD,C,2,4,"SPO penggunaan APD, sanksi teguran jika tidak memakai APD saat operasional",Ada,Efektif,8,SEDANG,sosialisasi kepatuhan APD dalam GKM,1x/bulan,Penjamah makanan,Ka.Instalasi Gizi,Gizi
323,Pengecekan kelengkapan teaset di kamar pasien,Memastikan semua kamar kosong sudah terisi teaset sebagai bentuk kelengkapan kamar siap untuk digunakan,,Operasional,Pasien,Karena tidak dilakukan pengecekan teaset secara menyeluruh mungkin saja terdapat kamar kosong yang tidak tersedia teaset sehingga pasien baru harus menunggu untuk diberikan teaset,Tidak dilakukan pengecekan teaset secara menyeluruh,C,3,2,"SPO pengecekan kelengkapan teaset, alur kerja petugas pramusaji",Ada,Kurang Efektif,6,SEDANG,Briefing tim pramusaji,1x/ 3bulan,Petugas pramusaji,Ka.Instalasi Gizi,Gizi
324,Penerimaan pasien baru,Perawat menginformasikan terdapat pasien baru yang harus mendapatkan layanan makanan sesuai dengan diet yang diberikan dokter,,Operasional,Pasien,Karena petugas gizi tidak menyelesaikan administrasi penerimaan pasien terlebih dahulu mungkin saja petugas gizi lupa menulis nama pasien dalam daftar permintaan makan pasien sehingga pasien terlewat untuk diberikan makan,Petugas gizi tidak menyelesaikan administrasi penerimaan pasien terlebih dahulu,C,3,3,SPO penerimaan pasien baru,Ada,Kurang Efektif,9,SEDANG,Briefing tim ahli gizi produksi,1x/ 3bulan,Ahli Gizi Produksi,Ka.Instalasi Gizi,Gizi
